Cipher Num	Enc Time	PTest Time	Total Time P	DTest Time	Total Time	
34400.000000	555.120249	1226.083016	1781.227629	9.950006	1791.177635	
34500.000000	556.528074	1229.115340	1785.667778	9.974302	1795.642080	
34600.000000	557.973819	1232.261681	1790.259864	10.000417	1800.260281	
34700.000000	559.392170	1235.348855	1794.765389	10.024316	1804.789705	
34800.000000	560.936329	1238.778828	1799.739521	10.054108	1809.793629	
34900.000000	562.334795	1241.869988	1804.229147	10.081937	1814.311084	
35000.000000	563.879648	1245.206447	1809.110459	10.110261	1819.220720	
35100.000000	565.299517	1248.293778	1813.617660	10.136135	1823.753794	
35200.000000	566.728768	1251.373685	1818.126817	10.163903	1828.290720	
35300.000000	568.143654	1254.401556	1822.569574	10.194593	1832.764168	
35400.000000	569.521645	1257.410578	1826.956587	10.218535	1837.175122	
35500.000000	570.944007	1260.490377	1831.458749	10.244683	1841.703432	
35600.000000	572.344460	1263.619563	1835.988387	10.275332	1846.263719	
35700.000000	573.752491	1266.662912	1840.439767	10.298669	1850.738437	
35800.000000	575.156889	1269.690445	1844.871698	10.324193	1855.195891	
35900.000000	576.737139	1273.100865	1849.862368	10.351987	1860.214355	
36000.000000	578.114979	1276.185850	1854.325193	10.376095	1864.701287	
36100.000000	579.522397	1279.276004	1858.822765	10.400242	1869.223007	
36200.000000	581.012927	1282.549299	1863.586591	10.425542	1874.012133	
36300.000000	582.431159	1285.595392	1868.050915	10.449550	1878.500465	
36400.000000	583.802825	1288.682559	1872.509748	10.474582	1882.984330	
36500.000000	585.216083	1291.743022	1876.983470	10.500618	1887.484087	
36600.000000	586.629616	1294.888337	1881.542318	10.525518	1892.067836	
36700.000000	588.002315	1297.927686	1885.954365	10.549010	1896.503375	
36800.000000	589.443037	1300.957715	1890.425116	10.572539	1900.997655	
36900.000000	590.872859	1304.121472	1895.018696	10.600914	1905.619610	
37000.000000	592.417813	1307.555370	1899.997547	10.629225	1910.626772	
37100.000000	593.825757	1310.605839	1904.455961	10.656121	1915.112082	
37200.000000	595.252750	1313.706001	1908.983116	10.679961	1919.663077	
37300.000000	596.787970	1317.079255	1913.891589	10.711946	1924.603535	
37400.000000	598.532855	1320.917177	1919.474396	10.764759	1930.239155	
37500.000000	599.934471	1324.077721	1924.036556	10.788637	1934.825193	
37600.000000	601.320797	1327.133495	1928.478656	10.812470	1939.291126	
37700.000000	602.752560	1330.210140	1932.987064	10.839178	1943.826242	
37800.000000	604.139075	1333.310169	1937.473609	10.863377	1948.336986	
