C Num	Enc Time	Test Time	Dec Time	
36500.000000	463.424911	4811.485796	252.809390	
36600.000000	464.598024	4823.659039	253.454797	
36700.000000	465.859056	4836.756592	254.139781	
36800.000000	466.971948	4848.289347	254.745198	
36900.000000	468.132530	4860.322609	255.375279	
37000.000000	469.372120	4873.187938	256.027753	
37100.000000	470.614862	4886.090274	256.710426	
37200.000000	471.778496	4898.171935	257.334028	
37300.000000	472.938577	4910.208392	257.969683	
37400.000000	474.122631	4922.484174	258.618594	
37500.000000	475.261193	4934.297609	259.241498	
37600.000000	476.518598	4947.361975	259.947935	
37700.000000	477.799814	4960.668864	260.648790	
37800.000000	479.076843	4973.930202	261.352759	
37900.000000	480.265716	4986.282406	262.008559	
38000.000000	481.485430	4998.919616	262.663245	
38100.000000	482.710767	5011.626549	263.330530	
38200.000000	484.008712	5025.117583	264.044911	
38300.000000	485.218905	5037.670588	264.691743	
38400.000000	486.344149	5049.347239	265.311283	
38500.000000	487.502430	5061.357365	265.948968	
38600.000000	488.754814	5074.368820	266.646073	
38700.000000	490.028600	5087.582316	267.350655	
38800.000000	491.231536	5100.062928	268.011835	
38900.000000	492.451005	5112.712359	268.671395	
39000.000000	493.629103	5124.929199	269.300378	
39100.000000	494.807870	5137.150564	269.951961	
39200.000000	496.078202	5150.340137	270.639700	
39300.000000	497.348579	5163.546581	271.329370	
39400.000000	498.518630	5175.681806	271.965796	
39500.000000	499.668160	5187.598929	272.587206	
39600.000000	500.901365	5200.404282	273.267028	
39700.000000	502.112639	5212.958298	273.928440	
39800.000000	503.427268	5226.627355	274.660599	
39900.000000	504.606291	5238.872161	275.294867	
40000.000000	505.939987	5252.709498	276.028265	
40100.000000	507.142498	5265.211935	276.686556	
40200.000000	508.426723	5278.540697	277.393397	
40300.000000	509.681027	5291.551290	278.085535	
40400.000000	510.909336	5304.309788	278.757391	
40500.000000	512.086330	5316.530657	279.408596	
40600.000000	513.276132	5328.863149	280.054202	
40700.000000	514.490396	5341.445937	280.693576	
40800.000000	515.782627	5354.870653	281.406277	
40900.000000	516.997444	5367.481132	282.055318	
41000.000000	518.142405	5379.361649	282.688570	
41100.000000	519.309649	5391.472507	283.327098	
